sr_no,prayer_date,suhoor_end,fajr_begin,sunrise_begin,zawaal_begin,zuhr_begin,asr_begin,sunset_begin,maghrib_begin,isha_begin,fajr_jamaat,zuhr_jamaat,asr_jamaat,maghrib_jamaat,isha_jamaat,jumu-ah_jamaat,eid_jamaat
36,05-Feb,6:03 AM,6:08 AM,7:45 AM,12:23 PM,12:29 PM,3:22 PM,5:09 PM,5:12 PM,6:40 PM,7:00 AM,1:00 PM,3:45 PM,5:12 PM,7:00 PM,1:00 PM,9:00 AM
37,06-Feb,6:01 AM,6:06 AM,7:43 AM,12:24 PM,12:30 PM,3:24 PM,5:11 PM,5:14 PM,6:42 PM,7:00 AM,1:00 PM,3:45 PM,5:14 PM,7:00 PM,1:00 PM,9:00 AM
38,07-Feb,6:00 AM,6:05 AM,7:43 AM,12:24 PM,12:30 PM,3:25 PM,5:13 PM,5:16 PM,6:43 PM,7:00 AM,1:00 PM,3:45 PM,5:16 PM,7:00 PM,1:00 PM,9:00 AM
39,08-Feb,5:58 AM,6:03 AM,7:40 AM,12:24 PM,12:30 PM,3:27 PM,5:15 PM,5:18 PM,6:45 PM,7:00 AM,1:00 PM,4:00 PM,5:18 PM,7:00 PM,1:00 PM,9:00 AM
40,09-Feb,5:57 AM,6:02 AM,7:38 AM,12:24 PM,12:30 PM,3:29 PM,5:17 PM,5:20 PM,6:46 PM,7:00 AM,1:00 PM,4:00 PM,5:20 PM,7:00 PM,1:00 PM,9:00 AM
41,10-Feb,5:55 AM,6:00 AM,7:36 AM,12:24 PM,12:30 PM,3:31 PM,5:19 PM,5:22 PM,6:48 PM,7:00 AM,1:00 PM,4:00 PM,5:22 PM,7:00 PM,1:00 PM,9:00 AM
42,11-Feb,5:53 AM,5:58 AM,7:35 AM,12:24 PM,12:30 PM,3:32 PM,5:20 PM,5:23 PM,6:49 PM,7:00 AM,1:00 PM,4:00 PM,5:23 PM,7:00 PM,1:00 PM,9:00 AM
43,12-Feb,5:51 AM,5:56 AM,7:32 AM,12:24 PM,12:30 PM,3:34 PM,5:22 PM,5:25 PM,6:51 PM,7:00 AM,1:00 PM,4:00 PM,5:25 PM,7:00 PM,1:00 PM,9:00 AM
44,13-Feb,5:50 AM,5:55 AM,7:31 AM,12:24 PM,12:30 PM,3:36 PM,5:24 PM,5:27 PM,6:53 PM,7:00 AM,1:00 PM,4:00 PM,5:27 PM,7:00 PM,1:00 PM,9:00 AM
45,14-Feb,5:48 AM,5:53 AM,7:29 AM,12:24 PM,12:30 PM,3:37 PM,5:26 PM,5:29 PM,6:54 PM,7:00 AM,1:00 PM,4:00 PM,5:29 PM,7:00 PM,1:00 PM,9:00 AM
46,15-Feb,5:46 AM,5:51 AM,7:27 AM,12:24 PM,12:30 PM,3:39 PM,5:28 PM,5:31 PM,6:56 PM,7:00 AM,1:00 PM,4:00 PM,5:31 PM,7:00 PM,1:00 PM,9:00 AM
47,16-Feb,5:44 AM,5:49 AM,7:25 AM,12:24 PM,12:30 PM,3:41 PM,5:30 PM,5:33 PM,6:57 PM,6:45 AM,1:00 PM,4:15 PM,5:33 PM,7:15 PM,1:00 PM,9:00 AM
48,17-Feb,5:42 AM,5:47 AM,7:23 AM,12:23 PM,12:29 PM,3:42 PM,5:31 PM,5:34 PM,6:59 PM,6:45 AM,1:00 PM,4:15 PM,5:34 PM,7:15 PM,1:00 PM,9:00 AM
49,18-Feb,5:40 AM,5:45 AM,7:21 AM,12:23 PM,12:29 PM,3:44 PM,5:33 PM,5:36 PM,7:01 PM,6:45 AM,1:00 PM,4:15 PM,5:36 PM,7:15 PM,1:00 PM,9:00 AM
